method,llm_score_mean,llm_score_median,llm_score_var,llm_score_std,format_score_mean,format_score_median,format_score_var,format_score_std,citation_score_mean,citation_score_median,citation_score_var,citation_score_std,workflow_latency_mean,workflow_latency_median,workflow_latency_var,workflow_latency_std,total_cached_tokens_mean,total_cached_tokens_median,total_cached_tokens_var,total_cached_tokens_std,uncached_prefill_tokens_mean,uncached_prefill_tokens_median,uncached_prefill_tokens_var,uncached_prefill_tokens_std,overall_cache_ratio_mean,overall_cache_ratio_median,overall_cache_ratio_var,overall_cache_ratio_std,avg_ttft_mean,avg_ttft_median,avg_ttft_var,avg_ttft_std
fixed_semantic_prompt_advanced_workflow,0.0,0.0,0.0,0.0,0.875,1.0,0.1121794871794872,0.3349320635285419,0.975,1.0,0.024999999999999998,0.15811388300841897,85.5692875,83.90285,1532.4758367708657,39.14684964043551,474.5,487.0,8777.282051282053,93.68714987276564,4239.0,4185.0,691199.8974358974,831.3843259503377,0.1041364682293296,0.10106064882544294,0.0008404025190837183,0.028989696774608012,0.12083035714285714,0.11339285714285716,0.0009482665744374671,0.03079393730001844
flat_prompt_advanced_workflow,0.0,0.0,0.0,0.0,0.9,1.0,0.09230769230769231,0.3038218101251,0.975,1.0,0.024999999999999998,0.15811388300841897,88.69909249999999,91.01685,1683.2975625463523,41.02800948798701,327.175,325.0,6948.660897435895,83.35862821229662,4165.1,4080.0,761942.5538461541,872.893208729541,0.0772511002193058,0.07054271294226615,0.001535180972702123,0.03918138553831555,0.1197875,0.11296428571428573,0.0009703636231030866,0.03115066007491794
prefix_lineage_aware_hash_advanced_workflow,0.0,0.0,0.0,0.0,0.875,1.0,0.1121794871794872,0.3349320635285419,1.0,1.0,0.0,0.0,84.3895125,89.57335,1572.9455841380452,39.66037801305032,1950.525,1919.5,71217.12756410257,266.86537348277795,4446.9,4310.5,695328.8615384615,833.8638147434277,0.30706587598745844,0.3033752386149687,0.0006000905091454588,0.024496744868358712,0.16853428571428572,0.17007142857142857,0.001933324100470959,0.04396958153622751
static_first_advanced_workflow,0.0,0.0,0.0,0.0,0.875,1.0,0.1121794871794872,0.3349320635285419,0.975,1.0,0.024999999999999998,0.15811388300841897,82.0010475,80.62795,1509.6855402456345,38.854672051706146,761.85,735.5,35249.25897435897,187.7478601059383,3958.825,3846.5,637310.6608974357,798.3173935831761,0.1641988808044617,0.15952821449345575,0.0015699466497661992,0.039622552287380465,0.11405392857142857,0.10340714285714286,0.0011607239506802726,0.03406939903608915
