relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate,kv_occupancy_pct,throughput_smoothed,hit_rate_smoothed,method
0,0.0,14.0,128404.0,0.0,0.0,0.010901898487750939,0.0,0.0,flat_prompt_simple_workflow_simple
1,1718.0,98.0,126602.0,1345.1684944223584,0.0,1.4141319752682646,244.57608989497427,0.0,flat_prompt_simple_workflow_simple
2,0.0,2048.0,126370.0,0.0,0.0,1.5947920073509945,200.10770991406986,0.0,flat_prompt_simple_workflow_simple
3,0.0,2048.0,126370.0,0.0,0.0,1.5947920073509945,163.7244899296935,0.0,flat_prompt_simple_workflow_simple
4,823.0,2002.0,125593.0,143.9860608927044,0.0,2.1998473734211714,160.13568465024093,0.0,flat_prompt_simple_workflow_simple
5,1685.0,1980.0,124753.0,625.5497042469603,0.0,2.8539612826862277,244.75641548600808,0.0,flat_prompt_simple_workflow_simple
6,1680.0,2549.0,124189.0,471.08579981089736,0.0,3.293152050335623,285.90721263598795,0.0,flat_prompt_simple_workflow_simple
7,1755.0,4262.0,122401.0,369.1167574504468,0.0,4.685480228628385,301.03622078407136,0.0,flat_prompt_simple_workflow_simple
8,2863.0,4262.0,121293.0,768.219237232984,0.0,5.548287623230388,385.97858741114635,0.0,flat_prompt_simple_workflow_simple
9,674.0,6973.0,120771.0,184.93420029092115,0.0,5.954772695416531,349.4250624801963,0.0,flat_prompt_simple_workflow_simple
10,0.0,7733.0,120685.0,0.0,0.0,6.021741500412714,285.8932329383424,0.0,flat_prompt_simple_workflow_simple
11,1681.0,7651.0,119086.0,314.7642368649825,0.0,7.26689404912084,291.1425063795497,0.0,flat_prompt_simple_workflow_simple
12,2555.0,7651.0,118212.0,306.0718376633711,0.0,7.947483997570434,293.8569302493354,0.0,flat_prompt_simple_workflow_simple
13,4564.0,8698.0,115156.0,752.6597902635784,0.0,10.327212696039496,377.27563207010684,0.0,flat_prompt_simple_workflow_simple
14,5501.0,9685.0,113232.0,1047.1652621150408,0.0,11.82544503107041,499.07374662373115,0.0,flat_prompt_simple_workflow_simple
15,4788.0,13537.0,110093.0,757.5292604398202,0.0,14.269806413431137,546.0656582266564,0.0,flat_prompt_simple_workflow_simple
16,5440.0,15191.0,107787.0,1196.972975044344,0.0,16.065504835770685,664.4124431025996,0.0,flat_prompt_simple_workflow_simple
17,4588.0,17624.0,106206.0,839.5813103704443,0.2907801418439716,17.296640657851704,696.2613280603895,0.05286911669890393,flat_prompt_simple_workflow_simple
18,5077.0,18993.0,104348.0,867.2363263379484,0.0,18.743478328583222,727.347691383582,0.04325655002637594,flat_prompt_simple_workflow_simple
19,4965.0,20003.0,103450.0,977.256810564809,0.0,19.442757245868957,772.785713052896,0.03539172274885304,flat_prompt_simple_workflow_simple
20,3726.0,23524.0,101168.0,874.9721115723257,0.3100775193798449,21.21976669937236,791.3650582382468,0.08533459486357883,flat_prompt_simple_workflow_simple
21,3996.0,23925.0,100497.0,610.0353910115572,0.0,21.74227911974957,758.3960278333941,0.06981921397929176,flat_prompt_simple_workflow_simple
22,3190.0,26215.0,99013.0,704.868741272863,0.0,22.897880359451168,748.6637939132975,0.05712481143760235,flat_prompt_simple_workflow_simple
23,2518.0,27847.0,98053.0,613.2368829252592,0.1735849056603773,23.645439112896945,724.0407191881995,0.07829937402356142,flat_prompt_simple_workflow_simple
24,2449.0,28665.0,97304.0,691.656782639825,0.0,24.228690681991623,718.1527307248587,0.06406312420109571,flat_prompt_simple_workflow_simple
25,2033.0,29834.0,96551.0,624.696904870288,0.0,24.815057079225653,701.160762387664,0.052415283437260124,flat_prompt_simple_workflow_simple
26,1846.0,30929.0,95643.0,294.2255239816817,0.0,25.522123066859788,627.1725372229399,0.04288523190321283,flat_prompt_simple_workflow_simple
27,4061.0,30928.0,93429.0,640.2826299557219,0.0,27.24618044199411,629.556190447082,0.03508791701171958,flat_prompt_simple_workflow_simple
28,4132.0,32136.0,92150.0,858.3508252262885,0.0857632933104631,28.242146739553647,671.1552149523923,0.044301621793309306,flat_prompt_simple_workflow_simple
29,1561.0,36175.0,90682.0,440.2840337781088,0.0,29.385288666697818,629.1786365570679,0.03624678146725307,flat_prompt_simple_workflow_simple
30,2862.0,36127.0,89429.0,616.7447391627029,0.0,30.361008581351523,626.9179279399106,0.029656457564116143,flat_prompt_simple_workflow_simple
31,2668.0,37653.0,88097.0,615.1809431711998,0.0951276102088167,31.398246351757543,624.7839307092358,0.04156030349951624,flat_prompt_simple_workflow_simple
32,2956.0,39345.0,86117.0,593.1042279611197,0.0,32.940086280739465,619.0239847550329,0.034003884681422375,flat_prompt_simple_workflow_simple
33,3556.0,39345.0,85517.0,763.6266950115785,0.0,33.407310501643074,645.3153866198593,0.02782136019389103,flat_prompt_simple_workflow_simple
34,4570.0,40615.0,83233.0,909.2237349701904,0.0,35.18587736921615,693.2987226835558,0.022762931067729024,flat_prompt_simple_workflow_simple
35,4416.0,41962.0,82040.0,851.1093576597111,0.0,36.1148748617795,721.991565406493,0.018624216328141926,flat_prompt_simple_workflow_simple
36,8933.0,42120.0,77365.0,1159.362275535849,0.0,39.755330249653476,801.5135127027395,0.015237995177570665,flat_prompt_simple_workflow_simple
37,8685.0,44399.0,75334.0,1157.0481859627052,0.1135371179039301,41.3368842374122,866.1561805681878,0.03311056294599965,flat_prompt_simple_workflow_simple
38,4964.0,50389.0,73065.0,741.9286151238806,0.3,43.10377049946269,843.5693504874046,0.08163591513763607,flat_prompt_simple_workflow_simple
39,4550.0,51885.0,71983.0,980.1911725530368,0.0,43.94633151115887,868.4096817720649,0.06679302147624769,flat_prompt_simple_workflow_simple
40,5568.0,52499.0,70351.0,976.7152690219868,0.067251461988304,45.2171813920167,888.1016067265961,0.06687637429662156,flat_prompt_simple_workflow_simple
41,3989.0,55294.0,69135.0,902.693750990506,0.2666666666666666,46.16408914638135,890.7547238654888,0.10320188200026612,flat_prompt_simple_workflow_simple
42,2702.0,57783.0,67933.0,687.8769692763386,0.1130434782608695,47.10009500225825,853.8678593947342,0.10499126313855764,flat_prompt_simple_workflow_simple
43,3721.0,57966.0,66731.0,610.5593251169848,0.0,48.03610085813515,809.629944071507,0.08590194256791078,flat_prompt_simple_workflow_simple
44,5072.0,57922.0,65424.0,752.5902717828739,0.0,49.05387095267019,799.2590945644827,0.07028340755556337,flat_prompt_simple_workflow_simple
45,2433.0,61713.0,64272.0,801.9683216435352,0.2539682539682539,49.95094145680512,799.7516813061286,0.10368065235787073,flat_prompt_simple_workflow_simple
46,2218.0,63252.0,62948.0,241.8010944313332,0.0,50.98194957093243,698.3061200561657,0.08482962465643969,flat_prompt_simple_workflow_simple
47,1750.0,64828.0,61840.0,546.9975851503397,0.0,51.84475696553442,670.7954773460154,0.06940605653708701,flat_prompt_simple_workflow_simple
48,2964.0,65063.0,60391.0,303.95929505984583,0.0,52.97310345901665,604.0979896576209,0.05678677353034391,flat_prompt_simple_workflow_simple
49,2366.0,66923.0,59129.0,404.9035065567974,0.0,53.95583173698392,567.8808109120166,0.046461905615735925,flat_prompt_simple_workflow_simple
