relative_time_s,kv_used,kv_evictable,kv_available,gen_throughput,global_hit_rate,kv_occupancy_pct,throughput_smoothed,hit_rate_smoothed,method
0,0.0,14.0,129518.0,0.0,0.0,0.010808140073495351,0.0,0.0,flat_prompt_advanced_workflow
1,1718.0,98.0,127716.0,1328.6709090108889,0.0,1.4019701695333973,241.5765289110707,0.0,flat_prompt_advanced_workflow
2,0.0,2048.0,127484.0,0.0,0.0,1.5810764907513202,197.65352365451238,0.0,flat_prompt_advanced_workflow
3,0.0,2048.0,127484.0,0.0,0.0,1.5810764907513202,161.71651935369195,0.0,flat_prompt_advanced_workflow
4,1074.0,2002.0,126456.0,631.2263252386824,0.0,2.374702776147979,247.08193860550838,0.0,flat_prompt_advanced_workflow
5,3192.0,1980.0,124360.0,760.6364734599128,0.09,3.9928357471512834,340.4554903972182,0.016363636363636365,flat_prompt_advanced_workflow
6,2232.0,3861.0,123439.0,623.0284022829837,0.0,4.703856961986228,391.83238346735743,0.013388429752066116,flat_prompt_advanced_workflow
7,2524.0,5576.0,121432.0,559.1703294420302,0.1605351170568562,6.253281042522311,422.2574645536615,0.040142372898391586,flat_prompt_advanced_workflow
8,2903.0,6422.0,120207.0,581.5012263434506,0.0,7.198993298953154,451.2108757881686,0.03284375964413857,flat_prompt_advanced_workflow
9,1510.0,8510.0,119512.0,725.974458662001,0.0,7.735540252601673,501.1678908561381,0.026872166981567917,flat_prompt_advanced_workflow
10,3144.0,9011.0,117377.0,617.5972549409751,0.0349417637271214,9.383781613809715,522.3368661442903,0.028339366389850365,flat_prompt_advanced_workflow
11,3926.0,10510.0,115096.0,915.1563190520004,0.0,11.144736435784209,593.7585848547831,0.02318675431896848,flat_prompt_advanced_workflow
12,5053.0,10836.0,113643.0,949.4171803741864,0.0,12.266466973411976,658.423784040129,0.018970980806428756,flat_prompt_advanced_workflow
13,2770.0,15295.0,111467.0,230.94854104658455,0.1004366812227074,13.946360744835253,580.7010125867573,0.03378292633666123,flat_prompt_advanced_workflow
14,7299.0,15235.0,106998.0,246.1392434231988,0.127789046653144,17.39647345829602,519.8716000115649,0.05087494821238537,flat_prompt_advanced_workflow
15,8377.0,16225.0,104930.0,1021.3158987119316,0.1048951048951049,18.992990149152334,611.0432906843588,0.06069679488197073,flat_prompt_advanced_workflow
16,9858.0,18551.0,101123.0,1272.2484806466034,0.0763105507631055,21.93203223913782,731.2624161320396,0.06353565958763159,flat_prompt_advanced_workflow
17,7721.0,24242.0,97569.0,1144.233994325641,0.0397815912636505,24.67575579779514,806.3481576217853,0.05921673807418048,flat_prompt_advanced_workflow
18,8649.0,25079.0,95804.0,1276.2122564751094,0.0334672021419009,26.038353457060804,891.7779937769351,0.05453500426831146,flat_prompt_advanced_workflow
19,7189.0,30228.0,92115.0,1269.9641987936964,0.0570342205323193,28.88629836642683,960.5391219618007,0.0549894072254038,flat_prompt_advanced_workflow
20,7260.0,31763.0,90509.0,1178.3791161794795,0.0,30.126146434857798,1000.1463936377422,0.044991333184421285,flat_prompt_advanced_workflow
21,8959.0,31758.0,88815.0,1167.4028424520086,0.0791476407914764,31.433931383750735,1030.5566570585179,0.051201570931158576,flat_prompt_advanced_workflow
22,9318.0,32813.0,87401.0,1272.194214358644,0.0,32.52555353117376,1074.4907583858135,0.04189219439822065,flat_prompt_advanced_workflow
23,11210.0,34708.0,83614.0,1254.702966535072,0.059171597633136,35.44915542105426,1107.2566144129514,0.04503390407729617,flat_prompt_advanced_workflow
24,11964.0,35614.0,81954.0,1373.3676315388632,0.0,36.730692029768704,1155.6404357085717,0.036845921517787775,flat_prompt_advanced_workflow
25,11332.0,39889.0,78311.0,1365.6019567809458,0.0476190476190476,39.54312447889325,1193.8152577217306,0.03880467171801683,flat_prompt_advanced_workflow
